epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,298.364,1.16113,0.93122,0.93271,0.85842,0.74336,0.86494,0.5283,1.22228,0.9593,0.94298,0.000253913,0.000253913,0.000253913
106,301.168,1.07813,0.90006,0.92386,0.82237,0.83186,0.89047,0.55692,1.19248,0.90941,0.94409,0.000246739,0.000246739,0.000246739
107,304.174,1.14062,0.93344,0.95094,0.84669,0.83085,0.8587,0.49155,1.29908,0.9861,0.94913,0.000239565,0.000239565,0.000239565
108,307.009,1.15397,0.92711,0.95123,0.8719,0.84326,0.89992,0.563,1.19903,0.91435,0.93646,0.000232391,0.000232391,0.000232391
109,310.002,1.08573,0.92145,0.91877,0.84418,0.84071,0.88657,0.5257,1.18787,0.94893,0.93764,0.000225217,0.000225217,0.000225217
110,312.824,1.12367,0.87754,0.93104,0.83809,0.84071,0.88938,0.55726,1.16075,0.90467,0.93833,0.000218043,0.000218043,0.000218043
111,315.633,1.10971,0.91671,0.9279,0.8303,0.82271,0.87476,0.51137,1.25001,0.96092,0.94983,0.00021087,0.00021087,0.00021087
112,318.419,1.14357,0.90776,0.93885,0.82017,0.83186,0.88605,0.52364,1.19677,0.95583,0.95115,0.000203696,0.000203696,0.000203696
113,321.208,1.15579,0.96464,0.95077,0.83303,0.82301,0.89007,0.55459,1.17714,0.93521,0.93641,0.000196522,0.000196522,0.000196522
114,323.982,1.17983,0.95301,0.95461,0.79349,0.81612,0.86918,0.49869,1.22099,1.00465,0.93884,0.000189348,0.000189348,0.000189348
115,326.777,1.07932,0.83937,0.927,0.82551,0.83186,0.88079,0.55113,1.14601,0.92535,0.93933,0.000182174,0.000182174,0.000182174
116,329.57,1.08254,0.89686,0.91956,0.84005,0.82301,0.87998,0.55092,1.20383,0.92921,0.93797,0.000175,0.000175,0.000175
117,332.372,1.10683,0.9104,0.92996,0.77737,0.79646,0.86017,0.49879,1.26729,1.01572,0.94853,0.000167826,0.000167826,0.000167826
118,335.194,1.05015,0.87335,0.90686,0.85754,0.79909,0.87609,0.55098,1.17031,0.94774,0.94612,0.000160652,0.000160652,0.000160652
119,338.023,1.11417,0.85277,0.94293,0.88417,0.85841,0.89744,0.54354,1.18993,0.91973,0.93848,0.000153478,0.000153478,0.000153478
120,340.815,1.12159,0.86686,0.92223,0.85463,0.82301,0.87616,0.48954,1.29473,0.9448,0.94194,0.000146304,0.000146304,0.000146304
121,343.642,1.12959,0.87702,0.94997,0.84515,0.8211,0.88342,0.52219,1.20822,0.91152,0.93466,0.00013913,0.00013913,0.00013913
122,346.456,1.09066,0.89357,0.92681,0.86766,0.87031,0.89581,0.53897,1.14265,0.91057,0.93483,0.000131957,0.000131957,0.000131957
123,349.264,1.03846,0.83265,0.91328,0.82372,0.88496,0.8772,0.54333,1.12266,0.92028,0.92916,0.000124783,0.000124783,0.000124783
124,352.072,1.06837,0.87866,0.93714,0.82193,0.83186,0.88953,0.54197,1.11758,0.92933,0.92547,0.000117609,0.000117609,0.000117609
125,354.932,1.07394,0.86013,0.93545,0.81772,0.82301,0.88371,0.52291,1.21305,0.97085,0.93317,0.000110435,0.000110435,0.000110435
126,357.755,1.08725,0.86853,0.92923,0.86805,0.84071,0.89658,0.54763,1.13009,0.9106,0.92569,0.000103261,0.000103261,0.000103261
127,360.595,1.09755,0.85211,0.94039,0.86346,0.81416,0.89989,0.55884,1.10303,0.91208,0.92063,9.6087e-05,9.6087e-05,9.6087e-05
128,363.386,1.0292,0.84414,0.88826,0.83232,0.83186,0.89318,0.55819,1.1237,0.90385,0.92492,8.8913e-05,8.8913e-05,8.8913e-05
129,366.987,0.95845,0.82874,0.9136,0.83884,0.84956,0.8944,0.53374,1.16402,0.95498,0.93226,8.17391e-05,8.17391e-05,8.17391e-05
130,369.761,0.95257,0.81937,0.91857,0.79616,0.82301,0.86597,0.50306,1.21034,1.00115,0.9403,7.45652e-05,7.45652e-05,7.45652e-05
131,372.537,0.89404,0.77324,0.89048,0.8342,0.78761,0.86119,0.47467,1.25552,1.0382,0.94071,6.73913e-05,6.73913e-05,6.73913e-05
132,375.324,0.91963,0.78993,0.89281,0.85527,0.80531,0.88344,0.52888,1.14744,0.94188,0.9302,6.02174e-05,6.02174e-05,6.02174e-05
133,378.115,0.94047,0.81465,0.88584,0.84743,0.83566,0.90918,0.57107,1.12515,0.90832,0.93125,5.30435e-05,5.30435e-05,5.30435e-05
134,381.071,0.9109,0.78554,0.87909,0.83201,0.8328,0.88758,0.53475,1.17611,0.93575,0.93147,4.58696e-05,4.58696e-05,4.58696e-05
135,383.843,0.93187,0.7868,0.88532,0.84977,0.80092,0.85708,0.46642,1.29601,1.02528,0.93353,3.86957e-05,3.86957e-05,3.86957e-05
136,386.625,0.94716,0.78642,0.91895,0.84039,0.79213,0.86022,0.45732,1.31276,1.02593,0.93446,3.15217e-05,3.15217e-05,3.15217e-05
137,389.409,0.94422,0.80412,0.91605,0.79668,0.82301,0.86371,0.49085,1.24623,0.97791,0.93531,2.43478e-05,2.43478e-05,2.43478e-05
138,392.193,0.89015,0.77144,0.89491,0.81599,0.84071,0.88184,0.52564,1.20563,0.93779,0.93408,1.71739e-05,1.71739e-05,1.71739e-05
